=========Starting calibration=========
Ambient light average: 0
LED light average: 9
=========Calibration complete=========
7
Phototransistor threshold: 7
Phototransistor value: 92
Latency: 118 탎
Phototransistor value: 40
Latency: 99 탎
Phototransistor value: 32
Latency: 6949 탎
Phototransistor value: 89
Latency: 426 탎
Phototransistor value: 182
Latency: 917 탎
Phototransistor value: 58
Latency: 590 탎
Phototransistor value: 12
Latency: 7618 탎
Phototransistor value: 23
Latency: 507 탎
Phototransistor value: 20
Latency: 180 탎
Phototransistor value: 208
Latency: 1170 탎
Phototransistor value: 28
Latency: 1007 탎
Phototransistor value: 19
Latency: 1334 탎
Phototransistor value: 48
Latency: 98 탎
Phototransistor value: 101
Latency: 590 탎
Phototransistor value: 10
Latency: 508 탎
Phototransistor value: 256
Latency: 426 탎
Phototransistor value: 16
Latency: 98 탎
Phototransistor value: 64
Latency: 917 탎
Phototransistor value: 710
Latency: 98 탎
Phototransistor value: 579
Latency: 99 탎
Phototransistor value: 604
Latency: 99 탎
Phototransistor value: 657
Latency: 98 탎
Phototransistor value: 710
Latency: 98 탎
Phototransistor value: 669
Latency: 98 탎
Phototransistor value: 191
Latency: 98 탎
Phototransistor value: 849
Latency: 98 탎
Phototransistor value: 770
Latency: 99 탎
Phototransistor value: 1023
Latency: 98 탎
Phototransistor value: 1520
Latency: 98 탎
Phototransistor value: 1237
Latency: 98 탎
Phototransistor value: 897
Latency: 98 탎
Phototransistor value: 855
Latency: 98 탎
Phototransistor value: 506
Latency: 98 탎
